package,package_description
java.nio.charset.spi,Service-provider classes for the java.nio.charset package.
java.nio.file,"Defines interfaces and classes for the Java virtual machine to access files, file attributes, and file systems."
java.nio.file.attribute,Interfaces and classes providing access to file and file system attributes.
java.nio.file.spi,Service-provider classes for the java.nio.file package.
java.rmi,Provides the RMI package.
java.rmi.activation,Provides support for RMI Object Activation.
java.rmi.dgc,Provides classes and interface for RMI distributedgarbage-collection (DGC).
java.rmi.registry,Provides a class and two interfaces for the RMI registry.
java.rmi.server,Provides classes and interfaces for supporting the serverside of RMI.
java.security,Provides the classes and interfaces for the security framework.
java.security.acl,The classes and interfaces in this package have been superseded by classes in the java.security package.
java.security.cert,"Provides classes and interfaces for parsing and managing certificates, certificate revocation lists (CRLs), and certification paths."
java.security.interfaces,"Provides interfaces for generating RSA (Rivest, Shamir and Adleman AsymmetricCipher algorithm) keys as defined in the RSA Laboratory Technical Note PKCS#1, and DSA (Digital Signature Algorithm) keys as defined in NIST's FIPS-186."
java.security.spec,Provides classes and interfaces for key specifications and algorithm parameter specifications.
java.sql,Provides the API for accessing and processing data stored in a data source (usually a relational database) using the JavaTM programming language.
java.text,"Provides classes and interfaces for handling text, dates, numbers, and messagesin a manner independent of natural languages."
java.text.spi,Service provider classes for the classes in the java.text package.
java.time,"The main API for dates, times, instants, and durations."
java.time.chrono,Generic API for calendar systems other than the default ISO.
java.time.format,Provides classes to print and parse dates and times.
java.time.temporal,"Access to date and time using fields and units, and date time adjusters."
java.time.zone,Support for time-zones and their rules.
java.util,"Contains the collections framework, legacy collection classes, event model,date and time facilities, internationalization, and miscellaneous utilityclasses (a string tokenizer, a random-number generator, and a bit array)."
java.util.concurrent,Utility classes commonly useful in concurrent programming.
java.util.concurrent.atomic,A small toolkit of classes that support lock-free thread-safe programming on single variables.
java.util.concurrent.locks,Interfaces and classes providing a framework for locking and waiting for conditions that is distinct from built-in synchronization and monitors.
java.util.function,Functional interfaces provide target types for lambda expressions and method references.
java.util.jar,"Provides classes for reading and writing the JAR (Java ARchive) fileformat, which is based on the standard ZIP file format with anoptional manifest file."
java.util.logging,Provides the classes and interfaces of the JavaTM 2 platform's core logging facilities.
java.util.prefs,This package allows applications to store and retrieve user and systempreference and configuration data.
java.util.regex,Classes for matching character sequences against patterns specified by regularexpressions.
java.util.spi,Service provider classes for the classes in the java.util package.
java.util.stream,"Classes to support functional-style operations on streams of elements, such as map-reduce transformations on collections."
java.util.zip,Provides classes for reading and writing the standard ZIP and GZIPfile formats.
javax.accessibility,Defines a contract between user-interface components and an assistive technologythat provides access to those components.
javax.activation,
javax.activity,Contains Activity service related exceptions thrown by the ORB machinery duringunmarshalling.
javax.annotation,
javax.annotation.processing,Facilities for declaring annotation processors and for allowing annotation processors to communicate with an annotation processing tool environment.
javax.crypto,Provides the classes and interfaces for cryptographic operations.
javax.crypto.interfaces,Provides interfaces for Diffie-Hellman keys as defined inRSA Laboratories' PKCS #3.
javax.crypto.spec,Provides classes and interfaces for key specifications and algorithmparameter specifications.
javax.imageio,The main package of the Java Image I/O API.
javax.imageio.event,A package of the Java Image I/O API dealing with synchronousnotification of events during the reading and writing of images.
javax.imageio.metadata,A package of the Java Image I/O API dealing with reading and writingmetadata.
javax.imageio.plugins.bmp,Package containing the public classes used by the built-in BMP plug-in.
javax.imageio.plugins.jpeg,Classes supporting the built-in JPEG plug-in.
javax.imageio.spi,"A package of the Java Image I/O API containing the plug-in interfacesfor readers, writers, transcoders, and streams, and a runtimeregistry."
javax.imageio.stream,A package of the Java Image I/O API dealing with low-level I/O fromfiles and streams.
javax.jws,
javax.jws.soap,
javax.lang.model,Classes and hierarchies of packages used to model the Java programming language.
javax.lang.model.element,Interfaces used to model elements of the Java programming language.
javax.lang.model.type,Interfaces used to model Java programming language types.
javax.lang.model.util,Utilities to assist in the processing of program elements and types.
javax.management,Provides the core classes for the Java Management Extensions.
javax.management.loading,Provides the classes which implement advanced dynamic loading.
javax.management.modelmbean,Provides the definition of the ModelMBean classes.
javax.management.monitor,Provides the definition of the monitor classes.
javax.management.openmbean,Provides the open data types and Open MBean descriptor classes.
javax.management.relation,Provides the definition of the Relation Service.
javax.management.remote,Interfaces for remote access to JMX MBean servers.
javax.management.remote.rmi,The RMI connector is a connector for the JMX Remote API that uses RMI to transmit client requests to a remote MBean server.
javax.management.timer,Provides the definition of the Timer MBean.
javax.naming,Provides the classes and interfaces for accessing naming services.
javax.naming.directory,Extends the javax.naming package to provide functionalityfor accessing directory services.
javax.naming.event,Provides support for event notification when accessing naming anddirectory services.
javax.naming.ldap,Provides support for LDAPv3 extended operations and controls.
javax.naming.spi,
javax.net,Provides classes for networking applications.
javax.net.ssl,Provides classes for the secure socket package.
javax.print,Provides the principal classes and interfaces for the JavaTM Print Service API.
javax.print.attribute,Provides classes and interfacesthat describe the types of JavaTM PrintService attributes and how they can be collected into attribute sets.
javax.print.attribute.standard,Package javax.print.attribute.standardcontains classes for specific printing attributes.
javax.print.event,Package javax.print.event contains event classes and listener interfaces.
javax.rmi,Contains user APIs for RMI-IIOP.
javax.rmi.CORBA,Contains portability APIs for RMI-IIOP.
javax.rmi.ssl,Provides implementations of RMIClientSocketFactory and RMIServerSocketFactory over the Secure Sockets Layer (SSL) or Transport Layer Security (TLS) protocols.
javax.script,The scripting API consists of interfaces and classes that defineJava TM Scripting Engines and providesa framework for their use in Java applications.
javax.security.auth,This package provides a framework for authentication and authorization.
javax.security.auth.callback,"This package provides the classes necessary for services to interact with applications in order to retrieve information (authentication data including usernames or passwords, for example) or to display information (error and warning messages, for example)."
javax.security.auth.kerberos,This package contains utility classes related to the Kerberos network authentication protocol.
javax.security.auth.login,This package provides a pluggable authentication framework.
javax.security.auth.spi,This package provides the interface to be used for implementing pluggable authentication modules.
javax.security.auth.x500,This package contains the classes that should be used to store X500 Principal and X500 Private Credentials in a Subject.
javax.security.cert,Provides classes for public key certificates.
javax.security.sasl,Contains class and interfaces for supporting SASL.
javax.sound.midi,"Provides interfaces and classes for I/O, sequencing, and synthesis of MIDI (Musical Instrument Digital Interface) data."
javax.sound.midi.spi,"Supplies interfaces for service providers to implement whenoffering new MIDI devices, MIDI file readers and writers, or sound bank readers."
javax.sound.sampled,"Provides interfaces and classes for capture, processing, and playback of sampled audio data."
javax.sound.sampled.spi,"Supplies abstract classes for service providers to subclass whenoffering new audio devices, sound file readers and writers, or audio format converters."
javax.sql,Provides the API for server side data source access and processing fromthe JavaTM programming language.
javax.sql.rowset,Standard interfaces and base classes for JDBC RowSetimplementations.
javax.sql.rowset.serial,Provides utility classes to allow serializable mappings between SQL typesand data types in the Java programming language.
javax.sql.rowset.spi,The standard classes and interfaces that a third party vendor has touse in its implementation of a synchronization provider.
javax.swing,"Provides a set of ""lightweight""(all-Java language) components that,to the maximum degree possible, work the same on all platforms."
javax.swing.border,Provides classes and interface for drawingspecialized borders around a Swing component.
javax.swing.colorchooser,Contains classes and interfaces used by the JColorChoosercomponent.
javax.swing.event,Provides for events fired by Swing components.
javax.swing.filechooser,Contains classes and interfaces used by the JFileChooser component.
javax.swing.plaf,Provides one interface and many abstract classes thatSwing uses to provide its pluggable look-and-feel capabilities.
javax.swing.plaf.basic,Provides user interface objects built according to theBasic look and feel.
javax.swing.plaf.metal,"Provides user interface objects built according tothe Java look and feel (once codenamed Metal),which is the default look and feel."
javax.swing.plaf.multi,Provides user interface objects that combine two or more look and feels.
javax.swing.plaf.nimbus,Provides user interface objects built according to the cross-platformNimbus look and feel.
javax.swing.plaf.synth,Synth is a skinnable look and feel in which all painting is delegated.
javax.swing.table,Provides classes and interfaces for dealing withjavax.swing.JTable.
javax.swing.text,Provides classes and interfaces that deal with editableand noneditable text components.
javax.swing.text.html,Provides the class HTMLEditorKit and supporting classesfor creating HTML text editors.
javax.swing.text.html.parser,"Provides the default HTML parser, along with support classes."
javax.swing.text.rtf,Provides a class (RTFEditorKit) for creating Rich-Text-Formattext editors.
javax.swing.tree,Provides classes and interfaces for dealing withjavax.swing.JTree.
javax.swing.undo,Allows developers to provide support for undo/redoin applications such as text editors.
javax.tools,"Provides interfaces for tools which can be invoked from a program, for example, compilers."
javax.transaction,Contains three exceptions thrown by the ORB machinery during unmarshalling.
javax.transaction.xa,"Provides the API that defines the contract between the transaction manager and the resource manager, which allows the transaction manager to enlist and delist resource objects (supplied by the resource manager driver) in JTA transactions."
javax.xml,
javax.xml.bind,"Provides a runtime binding framework for client applications including unmarshalling, marshalling, and validation capabilities."
javax.xml.bind.annotation,Defines annotations for customizing Java program elements to XML Schema mapping.
javax.xml.bind.annotation.adapters,XmlAdapter and its spec-defined sub-classes to allow arbitrary Java classes to be used with JAXB.
javax.xml.bind.attachment,This package is implemented by a MIME-based package processor that enables the interpretation and creation of optimized binary data within an MIME-based package format.
javax.xml.bind.helpers,JAXB Provider Use Only: Provides partial default implementations for some of the javax.xml.bind interfaces.
javax.xml.bind.util,Useful client utility classes.
javax.xml.crypto,Common classes for XML cryptography.
javax.xml.crypto.dom,DOM-specific classes for the javax.xml.crypto package.
javax.xml.crypto.dsig,Classes for generating and validating XML digitalsignatures.
javax.xml.crypto.dsig.dom,DOM-specific classes for the javax.xml.crypto.dsig package.
javax.xml.crypto.dsig.keyinfo,Classes for parsing and processing KeyInfo elements and structures.
javax.xml.crypto.dsig.spec,Parameter classes for XML digital signatures.
javax.xml.datatype,XML/Java Type Mappings.
javax.xml.namespace,XML Namespace processing.
javax.xml.parsers,Provides classes allowing the processing of XML documents.
javax.xml.soap,Provides the API for creating and building SOAP messages.
javax.xml.stream,
javax.xml.stream.events,
javax.xml.stream.util,
javax.xml.transform,"This package defines the generic APIs for processing transformationinstructions, and performing a transformation from source to result."
javax.xml.transform.dom,This package implements DOM-specific transformation APIs.
javax.xml.transform.sax,This package implements SAX2-specific transformation APIs.
javax.xml.transform.stax,Provides for StAX-specific transformation APIs.
javax.xml.transform.stream,This package implements stream- and URI- specific transformation APIs.
javax.xml.validation,This package provides an API for validation of XML documents.
javax.xml.ws,This package contains the core JAX-WS APIs.
javax.xml.ws.handler,This package defines APIs for message handlers.
javax.xml.ws.handler.soap,This package defines APIs for SOAP message handlers.
javax.xml.ws.http,This package defines APIs specific to the HTTP binding.
javax.xml.ws.soap,This package defines APIs specific to the SOAP binding.
javax.xml.ws.spi,This package defines SPIs for JAX-WS.
javax.xml.ws.spi.http,Provides HTTP SPI that is used for portable deployment of JAX-WS web services in containers(for e.g.
javax.xml.ws.wsaddressing,This package defines APIs related to WS-Addressing.
javax.xml.xpath,This package provides an object-model neutral API for theevaluation of XPath expressions and access to the evaluationenvironment.
org.ietf.jgss,"This package presents a framework that allows application developers to make use of security services like authentication, data integrity and data confidentiality from a variety of underlying security mechanisms like Kerberos, using a unified API."
org.omg.CORBA,"Provides the mapping of the OMG CORBA APIs to the JavaTMprogramming language, including the class ORB, which is implementedso that a programmer can use it as a fully-functional Object Request Broker(ORB)."
org.omg.CORBA_2_3,The CORBA_2_3 package defines additions to existing CORBA interfacesin the Java[tm] Standard Edition 6. These changes occurred in recentrevisions to the CORBA API defined by the OMG. The new methods wereadded to interfaces derived from the corresponding interfaces inthe CORBA package. This provides backward compatibility and avoidsbreaking the JCK tests.
org.omg.CORBA_2_3.portable,"Provides methods for the input and output of value types, and contains other updates to the org/omg/CORBA/portable package."
org.omg.CORBA.DynAnyPackage,"Provides the exceptions used with the DynAny interface (InvalidValue, Invalid, InvalidSeq, and TypeMismatch)."
org.omg.CORBA.ORBPackage,"Provides the exception InvalidName, which is thrownby the method ORB.resolve_initial_referencesand the exception InconsistentTypeCode, which is thrownby the Dynamic Any creation methods in the ORB class."
org.omg.CORBA.portable,"Provides a portability layer, that is, a set of ORB APIsthat makes it possible for code generatedby one vendor to run on another vendor's ORB."
org.omg.CORBA.TypeCodePackage,"Provides the user-defined exceptions BadKindand Bounds, which are thrown by methods inin the class TypeCode."
org.omg.CosNaming,Provides a naming service for JavaIDL.
org.omg.CosNaming.NamingContextExtPackage,"This package contains the following classes, which are used in org.omg.CosNaming.NamingContextExt:"
org.omg.CosNaming.NamingContextPackage,This package contains Exception classes for the org.omg.CosNaming package.
org.omg.Dynamic,"This package contains the Dynamic module specified in the OMG PortableInterceptor specification,http://cgi.omg.org/cgi-bin/doc?ptc/2000-08-06, section 21.9."
org.omg.DynamicAny,"Provides classes and interfaces that enable traversal of the data value associated with an any atruntime, and extraction of the primitive constituents of the data value."
org.omg.DynamicAny.DynAnyFactoryPackage,"This package contains classes and exceptions from the DynAnyFactoryinterface of theDynamicAny modulespecified in the OMG The Common Object Request Broker: Architecture andSpecification,http://cgi.omg.org/cgi-bin/doc?formal/99-10-07, section 9.2.2."
org.omg.DynamicAny.DynAnyPackage,"This package contains classes and exceptions from the DynAny interface of the DynamicAny modulespecified in the OMG The Common Object Request Broker: Architecture andSpecification,http://cgi.omg.org/cgi-bin/doc?formal/99-10-07, section 9.2."
org.omg.IOP,"This package contains the IOP module specified in the OMG documentThe CommonObject Request Broker: Architecture and Specification,http://cgi.omg.org/cgi-bin/doc?formal/99-10-07, section 13.6."
org.omg.IOP.CodecFactoryPackage,This package contains the exceptionsspecified in the IOP::CodeFactory interface (as part of the Portable Interceptors spec).
org.omg.IOP.CodecPackage,This package is generated from the IOP::Codec IDL interfacedefinition.
org.omg.Messaging,"This package contains the Messaging module specified in the OMG CORBAMessaging specification, http://cgi.omg.org/cgi-bin/doc?formal/99-10-07."
org.omg.PortableInterceptor,Provides a mechanism to register ORB hooks through which ORB servicescan intercept the normal flow of execution of the ORB.
org.omg.PortableInterceptor.ORBInitInfoPackage,"This package contains the exceptions and typedefs from the ORBInitInfolocal interface of the PortableInterceptor module specified in the OMGPortable Interceptor specification,http://cgi.omg.org/cgi-bin/doc?ptc/2000-08-06, section 21.7.2."
org.omg.PortableServer,Provides classes and interfaces for making the server side of your applications portable across multivendor ORBs.
org.omg.PortableServer.CurrentPackage,Provides method implementations with access to the identity of the object on which the method was invoked.
org.omg.PortableServer.POAManagerPackage,Encapsulates the processing state of the POAs it is associated with.
org.omg.PortableServer.POAPackage,Allows programmers to construct object implementations that are portablebetween different ORB products.
org.omg.PortableServer.portable,Provides classes and interfaces for making the server side of your applications portable across multivendor ORBs.
org.omg.PortableServer.ServantLocatorPackage,Provides classes and interfaces for locating the servant.
org.omg.SendingContext,Provides support for the marshalling of value types.
org.omg.stub.java.rmi,Contains RMI-IIOP Stubs for the Remote types that occur in the java.rmi package.
org.w3c.dom,Provides the interfaces for the Document Object Model (DOM).
org.w3c.dom.bootstrap,
org.w3c.dom.events,
org.w3c.dom.ls,
org.w3c.dom.views,
org.xml.sax,This package provides the core SAX APIs.
org.xml.sax.ext,This package contains interfaces to SAX2 facilities thatconformant SAX drivers won't necessarily support.
org.xml.sax.helpers,"This package contains ""helper"" classes, includingsupport for bootstrapping SAX-based applications."
